table_num,table_name,excel_source,row,col,is_header_row,cell_type,value
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,18,1,False,OKVED_NAME,
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,18,2,False,EMPTY,
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,18,3,False,EMPTY,
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,18,4,False,EMPTY,
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,18,5,False,EMPTY,
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,18,6,False,EMPTY,
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,18,7,False,EMPTY,
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,18,8,False,EMPTY,
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,18,9,False,EMPTY,
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,18,10,False,DATA,Продолжение таблицы 1.
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,18,11,False,DATA,Продолжение таблицы 1.
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,19,0,False,OKVED_CODE,
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,19,1,False,OKVED_NAME,Валюта баланса
